Mar. 16, 2023   08:31:15
Cyclic Voltammetry
File: c:/users/oliverrz/desktop/electrolab/data/2023_03_16\fcmeoh_macros_0_um\electrode3_cv_150mvs_0_um.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = -0.2
High E (V) = 0.3
Low E (V) = -0.2
Final E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.15
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

-0.200, 1.904e-9
-0.199, 1.327e-9
-0.198, 1.457e-9
-0.197, 1.324e-9
-0.196, 1.264e-9
-0.195, 1.367e-9
-0.194, 1.148e-9
-0.193, 1.294e-9
-0.192, 1.183e-9
-0.191, 1.137e-9
-0.190, 1.241e-9
-0.189, 1.031e-9
-0.188, 1.201e-9
-0.187, 1.063e-9
-0.186, 1.044e-9
-0.185, 1.150e-9
-0.184, 9.269e-10
-0.183, 1.117e-9
-0.182, 9.818e-10
-0.181, 9.416e-10
-0.180, 1.072e-9
-0.179, 8.393e-10
-0.178, 1.024e-9
-0.177, 9.028e-10
-0.176, 8.676e-10
-0.175, 9.883e-10
-0.174, 7.698e-10
-0.173, 9.509e-10
-0.172, 8.164e-10
-0.171, 8.008e-10
-0.170, 9.175e-10
-0.169, 6.855e-10
-0.168, 8.923e-10
-0.167, 7.491e-10
-0.166, 7.095e-10
-0.165, 8.597e-10
-0.164, 6.175e-10
-0.163, 8.011e-10
-0.162, 6.973e-10
-0.161, 6.424e-10
-0.160, 7.803e-10
-0.159, 5.652e-10
-0.158, 7.323e-10
-0.157, 6.266e-10
-0.156, 5.883e-10
-0.155, 7.136e-10
-0.154, 4.914e-10
-0.153, 6.704e-10
-0.152, 5.588e-10
-0.151, 5.237e-10
-0.150, 6.494e-10
-0.149, 4.331e-10
-0.148, 6.094e-10
-0.147, 4.924e-10
-0.146, 4.680e-10
-0.145, 5.838e-10
-0.144, 3.747e-10
-0.143, 5.543e-10
-0.142, 4.248e-10
-0.141, 4.034e-10
-0.140, 5.246e-10
-0.139, 3.084e-10
-0.138, 4.974e-10
-0.137, 3.697e-10
-0.136, 3.472e-10
-0.135, 4.764e-10
-0.134, 2.489e-10
-0.133, 4.403e-10
-0.132, 3.207e-10
-0.131, 2.803e-10
-0.130, 4.226e-10
-0.129, 1.947e-10
-0.128, 3.746e-10
-0.127, 2.704e-10
-0.126, 2.274e-10
-0.125, 3.551e-10
-0.124, 1.464e-10
-0.123, 3.282e-10
-0.122, 2.014e-10
-0.121, 1.809e-10
-0.120, 3.150e-10
-0.119, 8.080e-11
-0.118, 2.786e-10
-0.117, 1.501e-10
-0.116, 1.189e-10
-0.115, 2.566e-10
-0.114, 3.896e-11
-0.113, 2.042e-10
-0.112, 1.126e-10
-0.111, 7.200e-11
-0.110, 1.845e-10
-0.109, -3.387e-12
-0.108, 1.628e-10
-0.107, 4.125e-11
-0.106, 3.438e-11
-0.105, 1.371e-10
-0.104, -7.131e-11
-0.103, 1.203e-10
-0.102, -1.994e-11
-0.101, -3.007e-11
-0.100, 9.550e-11
-0.099, -1.306e-10
-0.098, 6.446e-11
-0.097, -5.993e-11
-0.096, -8.144e-11
-0.095, 4.539e-11
-0.094, -1.749e-10
-0.093, 1.428e-11
-0.092, -1.075e-10
-0.091, -1.283e-10
-0.090, -1.056e-11
-0.089, -2.331e-10
-0.088, -3.229e-11
-0.087, -1.636e-10
-0.086, -1.875e-10
-0.085, -5.498e-11
-0.084, -2.804e-10
-0.083, -9.186e-11
-0.082, -2.085e-10
-0.081, -2.447e-10
-0.080, -1.090e-10
-0.079, -3.236e-10
-0.078, -1.507e-10
-0.077, -2.672e-10
-0.076, -2.842e-10
-0.075, -1.725e-10
-0.074, -3.765e-10
-0.073, -1.982e-10
-0.072, -3.205e-10
-0.071, -3.345e-10
-0.070, -2.239e-10
-0.069, -4.369e-10
-0.068, -2.443e-10
-0.067, -3.723e-10
-0.066, -3.924e-10
-0.065, -2.735e-10
-0.064, -4.858e-10
-0.063, -3.046e-10
-0.062, -4.214e-10
-0.061, -4.409e-10
-0.060, -3.323e-10
-0.059, -5.358e-10
-0.058, -3.488e-10
-0.057, -4.906e-10
-0.056, -4.845e-10
-0.055, -3.814e-10
-0.054, -6.018e-10
-0.053, -3.913e-10
-0.052, -5.358e-10
-0.051, -5.584e-10
-0.050, -4.184e-10
-0.049, -6.610e-10
-0.048, -4.547e-10
-0.047, -5.723e-10
-0.046, -6.180e-10
-0.045, -4.772e-10
-0.044, -6.895e-10
-0.043, -5.149e-10
-0.042, -6.298e-10
-0.041, -6.552e-10
-0.040, -5.330e-10
-0.039, -7.502e-10
-0.038, -5.628e-10
-0.037, -6.841e-10
-0.036, -7.022e-10
