May 25, 2023   21:51:36
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt5\mix_5\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.686e-10
2.000e-1, -3.636e-10
3.000e-1, -3.592e-10
4.000e-1, -3.553e-10
5.000e-1, -3.516e-10
6.000e-1, -3.481e-10
7.000e-1, -3.445e-10
8.000e-1, -3.414e-10
9.000e-1, -3.385e-10
1.000e+0, -3.359e-10
1.100e+0, -3.333e-10
1.200e+0, -3.311e-10
1.300e+0, -3.288e-10
1.400e+0, -3.267e-10
1.500e+0, -3.249e-10
1.600e+0, -3.233e-10
1.700e+0, -3.217e-10
1.800e+0, -3.200e-10
1.900e+0, -3.187e-10
2.000e+0, -3.174e-10
2.100e+0, -3.161e-10
2.200e+0, -3.149e-10
2.300e+0, -3.137e-10
2.400e+0, -3.125e-10
2.500e+0, -3.114e-10
2.600e+0, -3.103e-10
2.700e+0, -3.093e-10
2.800e+0, -3.084e-10
2.900e+0, -3.074e-10
3.000e+0, -3.064e-10
3.100e+0, -3.054e-10
3.200e+0, -3.046e-10
3.300e+0, -3.036e-10
3.400e+0, -3.026e-10
3.500e+0, -3.018e-10
3.600e+0, -3.008e-10
3.700e+0, -3.000e-10
3.800e+0, -2.992e-10
3.900e+0, -2.983e-10
4.000e+0, -2.974e-10
4.100e+0, -2.966e-10
4.200e+0, -2.957e-10
4.300e+0, -2.951e-10
4.400e+0, -2.942e-10
4.500e+0, -2.935e-10
4.600e+0, -2.926e-10
4.700e+0, -2.919e-10
4.800e+0, -2.911e-10
4.900e+0, -2.905e-10
5.000e+0, -2.899e-10
5.100e+0, -2.892e-10
5.200e+0, -2.888e-10
5.300e+0, -2.884e-10
5.400e+0, -2.879e-10
5.500e+0, -2.874e-10
5.600e+0, -2.868e-10
5.700e+0, -2.867e-10
5.800e+0, -2.866e-10
5.900e+0, -2.863e-10
6.000e+0, -2.861e-10
6.100e+0, -2.858e-10
6.200e+0, -2.854e-10
6.300e+0, -2.850e-10
6.400e+0, -2.848e-10
6.500e+0, -2.846e-10
6.600e+0, -2.843e-10
6.700e+0, -2.839e-10
6.800e+0, -2.835e-10
6.900e+0, -2.832e-10
7.000e+0, -2.827e-10
7.100e+0, -2.823e-10
7.200e+0, -2.818e-10
7.300e+0, -2.814e-10
7.400e+0, -2.808e-10
7.500e+0, -2.803e-10
7.600e+0, -2.797e-10
7.700e+0, -2.791e-10
7.800e+0, -2.786e-10
7.900e+0, -2.782e-10
8.000e+0, -2.779e-10
8.100e+0, -2.776e-10
8.200e+0, -2.775e-10
8.300e+0, -2.774e-10
8.400e+0, -2.773e-10
8.500e+0, -2.773e-10
8.600e+0, -2.773e-10
8.700e+0, -2.772e-10
8.800e+0, -2.772e-10
8.900e+0, -2.770e-10
9.000e+0, -2.769e-10
9.100e+0, -2.767e-10
9.200e+0, -2.764e-10
9.300e+0, -2.762e-10
9.400e+0, -2.758e-10
9.500e+0, -2.755e-10
9.600e+0, -2.751e-10
9.700e+0, -2.747e-10
9.800e+0, -2.744e-10
9.900e+0, -2.741e-10
1.000e+1, -2.739e-10
1.010e+1, -2.738e-10
1.020e+1, -2.736e-10
1.030e+1, -2.734e-10
1.040e+1, -2.733e-10
1.050e+1, -2.730e-10
1.060e+1, -2.728e-10
1.070e+1, -2.726e-10
1.080e+1, -2.723e-10
1.090e+1, -2.719e-10
1.100e+1, -2.715e-10
1.110e+1, -2.712e-10
1.120e+1, -2.710e-10
1.130e+1, -2.707e-10
1.140e+1, -2.703e-10
1.150e+1, -2.698e-10
1.160e+1, -2.695e-10
1.170e+1, -2.690e-10
1.180e+1, -2.686e-10
1.190e+1, -2.681e-10
1.200e+1, -2.677e-10
1.210e+1, -2.672e-10
1.220e+1, -2.668e-10
1.230e+1, -2.666e-10
1.240e+1, -2.666e-10
1.250e+1, -2.666e-10
1.260e+1, -2.667e-10
1.270e+1, -2.666e-10
1.280e+1, -2.666e-10
1.290e+1, -2.665e-10
1.300e+1, -2.663e-10
1.310e+1, -2.662e-10
1.320e+1, -2.663e-10
1.330e+1, -2.664e-10
1.340e+1, -2.664e-10
1.350e+1, -2.664e-10
1.360e+1, -2.662e-10
1.370e+1, -2.660e-10
1.380e+1, -2.655e-10
1.390e+1, -2.652e-10
1.400e+1, -2.648e-10
1.410e+1, -2.644e-10
1.420e+1, -2.641e-10
1.430e+1, -2.638e-10
1.440e+1, -2.635e-10
1.450e+1, -2.633e-10
1.460e+1, -2.631e-10
1.470e+1, -2.629e-10
1.480e+1, -2.626e-10
1.490e+1, -2.625e-10
1.500e+1, -2.623e-10
1.510e+1, -2.621e-10
1.520e+1, -2.620e-10
1.530e+1, -2.619e-10
1.540e+1, -2.620e-10
1.550e+1, -2.621e-10
1.560e+1, -2.621e-10
1.570e+1, -2.621e-10
1.580e+1, -2.620e-10
1.590e+1, -2.620e-10
1.600e+1, -2.620e-10
1.610e+1, -2.619e-10
1.620e+1, -2.618e-10
1.630e+1, -2.617e-10
1.640e+1, -2.616e-10
1.650e+1, -2.615e-10
1.660e+1, -2.615e-10
1.670e+1, -2.614e-10
1.680e+1, -2.612e-10
1.690e+1, -2.612e-10
1.700e+1, -2.612e-10
1.710e+1, -2.611e-10
1.720e+1, -2.610e-10
1.730e+1, -2.609e-10
1.740e+1, -2.609e-10
1.750e+1, -2.607e-10
1.760e+1, -2.606e-10
1.770e+1, -2.605e-10
1.780e+1, -2.603e-10
1.790e+1, -2.605e-10
1.800e+1, -2.605e-10
1.810e+1, -2.603e-10
1.820e+1, -2.604e-10
1.830e+1, -2.604e-10
