May 24, 2023   20:58:59
Open Circuit Potential - Time
File: c:/users/mapence2/desktop/data/2023_05_24\expt2\mix_2\ocp.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 120

Time/sec, Potential/V

1.000e-2, 1.356e+0
2.000e-2, 1.309e+0
3.000e-2, 1.270e+0
4.000e-2, 1.237e+0
5.000e-2, 1.208e+0
6.000e-2, 1.181e+0
7.000e-2, 1.156e+0
8.000e-2, 1.133e+0
9.000e-2, 1.112e+0
1.000e-1, 1.093e+0
1.100e-1, 1.074e+0
1.200e-1, 1.057e+0
1.300e-1, 1.040e+0
1.400e-1, 1.025e+0
1.500e-1, 1.010e+0
1.600e-1, 9.950e-1
1.700e-1, 9.815e-1
1.800e-1, 9.676e-1
1.900e-1, 9.544e-1
2.000e-1, 9.415e-1
2.100e-1, 9.283e-1
2.200e-1, 9.159e-1
2.300e-1, 9.036e-1
2.400e-1, 8.916e-1
2.500e-1, 8.799e-1
2.600e-1, 8.683e-1
2.700e-1, 8.575e-1
2.800e-1, 8.470e-1
2.900e-1, 8.366e-1
3.000e-1, 8.270e-1
3.100e-1, 8.178e-1
3.200e-1, 8.089e-1
3.300e-1, 8.006e-1
3.400e-1, 7.926e-1
3.500e-1, 7.852e-1
3.600e-1, 7.775e-1
3.700e-1, 7.707e-1
3.800e-1, 7.640e-1
3.900e-1, 7.575e-1
4.000e-1, 7.517e-1
4.100e-1, 7.452e-1
4.200e-1, 7.394e-1
4.300e-1, 7.332e-1
4.400e-1, 7.274e-1
4.500e-1, 7.215e-1
4.600e-1, 7.154e-1
4.700e-1, 7.098e-1
4.800e-1, 7.040e-1
4.900e-1, 6.981e-1
5.000e-1, 6.926e-1
5.100e-1, 6.867e-1
5.200e-1, 6.815e-1
5.300e-1, 6.757e-1
5.400e-1, 6.701e-1
5.500e-1, 6.649e-1
5.600e-1, 6.591e-1
5.700e-1, 6.538e-1
5.800e-1, 6.486e-1
5.900e-1, 6.431e-1
6.000e-1, 6.381e-1
6.100e-1, 6.323e-1
6.200e-1, 6.274e-1
6.300e-1, 6.221e-1
6.400e-1, 6.169e-1
6.500e-1, 6.123e-1
6.600e-1, 6.071e-1
6.700e-1, 6.021e-1
6.800e-1, 5.972e-1
6.900e-1, 5.923e-1
7.000e-1, 5.880e-1
7.100e-1, 5.828e-1
7.200e-1, 5.781e-1
7.300e-1, 5.735e-1
7.400e-1, 5.689e-1
7.500e-1, 5.646e-1
7.600e-1, 5.600e-1
7.700e-1, 5.557e-1
7.800e-1, 5.511e-1
7.900e-1, 5.468e-1
8.000e-1, 5.428e-1
8.100e-1, 5.381e-1
8.200e-1, 5.345e-1
8.300e-1, 5.302e-1
8.400e-1, 5.262e-1
8.500e-1, 5.225e-1
8.600e-1, 5.182e-1
8.700e-1, 5.148e-1
8.800e-1, 5.108e-1
8.900e-1, 5.068e-1
9.000e-1, 5.034e-1
9.100e-1, 4.997e-1
9.200e-1, 4.963e-1
9.300e-1, 4.926e-1
9.400e-1, 4.889e-1
9.500e-1, 4.862e-1
9.600e-1, 4.825e-1
9.700e-1, 4.794e-1
9.800e-1, 4.760e-1
9.900e-1, 4.726e-1
