May 25, 2023   19:35:28
Amperometric i-t Curve
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_9\it_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CA
Note: 

Init E (V) = 0.7
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, -3.205e-10
2.000e-1, -3.147e-10
3.000e-1, -3.094e-10
4.000e-1, -3.046e-10
5.000e-1, -3.003e-10
6.000e-1, -2.965e-10
7.000e-1, -2.931e-10
8.000e-1, -2.899e-10
9.000e-1, -2.867e-10
1.000e+0, -2.833e-10
1.100e+0, -2.801e-10
1.200e+0, -2.770e-10
1.300e+0, -2.739e-10
1.400e+0, -2.711e-10
1.500e+0, -2.685e-10
1.600e+0, -2.661e-10
1.700e+0, -2.640e-10
1.800e+0, -2.619e-10
1.900e+0, -2.600e-10
2.000e+0, -2.582e-10
2.100e+0, -2.564e-10
2.200e+0, -2.547e-10
2.300e+0, -2.529e-10
2.400e+0, -2.512e-10
2.500e+0, -2.499e-10
2.600e+0, -2.484e-10
2.700e+0, -2.471e-10
2.800e+0, -2.459e-10
2.900e+0, -2.447e-10
3.000e+0, -2.436e-10
3.100e+0, -2.423e-10
3.200e+0, -2.411e-10
3.300e+0, -2.400e-10
3.400e+0, -2.389e-10
3.500e+0, -2.379e-10
3.600e+0, -2.369e-10
3.700e+0, -2.362e-10
3.800e+0, -2.351e-10
3.900e+0, -2.342e-10
4.000e+0, -2.334e-10
4.100e+0, -2.326e-10
4.200e+0, -2.318e-10
4.300e+0, -2.311e-10
4.400e+0, -2.303e-10
4.500e+0, -2.296e-10
4.600e+0, -2.289e-10
4.700e+0, -2.281e-10
4.800e+0, -2.275e-10
4.900e+0, -2.270e-10
5.000e+0, -2.264e-10
5.100e+0, -2.258e-10
5.200e+0, -2.254e-10
5.300e+0, -2.249e-10
5.400e+0, -2.245e-10
5.500e+0, -2.240e-10
5.600e+0, -2.235e-10
5.700e+0, -2.229e-10
5.800e+0, -2.225e-10
5.900e+0, -2.219e-10
6.000e+0, -2.213e-10
6.100e+0, -2.208e-10
6.200e+0, -2.203e-10
6.300e+0, -2.197e-10
6.400e+0, -2.192e-10
6.500e+0, -2.188e-10
6.600e+0, -2.184e-10
6.700e+0, -2.180e-10
6.800e+0, -2.176e-10
6.900e+0, -2.173e-10
7.000e+0, -2.169e-10
7.100e+0, -2.167e-10
7.200e+0, -2.165e-10
7.300e+0, -2.165e-10
7.400e+0, -2.165e-10
7.500e+0, -2.164e-10
7.600e+0, -2.163e-10
7.700e+0, -2.163e-10
7.800e+0, -2.160e-10
7.900e+0, -2.158e-10
8.000e+0, -2.155e-10
8.100e+0, -2.152e-10
8.200e+0, -2.149e-10
8.300e+0, -2.144e-10
8.400e+0, -2.141e-10
8.500e+0, -2.140e-10
8.600e+0, -2.137e-10
8.700e+0, -2.134e-10
8.800e+0, -2.130e-10
8.900e+0, -2.129e-10
9.000e+0, -2.126e-10
9.100e+0, -2.124e-10
9.200e+0, -2.121e-10
9.300e+0, -2.119e-10
9.400e+0, -2.115e-10
9.500e+0, -2.112e-10
9.600e+0, -2.110e-10
9.700e+0, -2.107e-10
9.800e+0, -2.105e-10
9.900e+0, -2.101e-10
1.000e+1, -2.099e-10
1.010e+1, -2.096e-10
1.020e+1, -2.093e-10
1.030e+1, -2.089e-10
1.040e+1, -2.086e-10
1.050e+1, -2.083e-10
1.060e+1, -2.080e-10
1.070e+1, -2.076e-10
1.080e+1, -2.073e-10
1.090e+1, -2.072e-10
1.100e+1, -2.070e-10
1.110e+1, -2.068e-10
1.120e+1, -2.066e-10
1.130e+1, -2.065e-10
1.140e+1, -2.062e-10
1.150e+1, -2.062e-10
1.160e+1, -2.058e-10
1.170e+1, -2.056e-10
1.180e+1, -2.053e-10
1.190e+1, -2.051e-10
1.200e+1, -2.048e-10
1.210e+1, -2.046e-10
1.220e+1, -2.044e-10
1.230e+1, -2.042e-10
1.240e+1, -2.040e-10
1.250e+1, -2.039e-10
1.260e+1, -2.039e-10
1.270e+1, -2.038e-10
1.280e+1, -2.038e-10
1.290e+1, -2.038e-10
1.300e+1, -2.037e-10
1.310e+1, -2.036e-10
1.320e+1, -2.034e-10
1.330e+1, -2.032e-10
1.340e+1, -2.029e-10
1.350e+1, -2.028e-10
1.360e+1, -2.025e-10
1.370e+1, -2.022e-10
1.380e+1, -2.020e-10
1.390e+1, -2.017e-10
1.400e+1, -2.015e-10
1.410e+1, -2.012e-10
1.420e+1, -2.010e-10
1.430e+1, -2.008e-10
1.440e+1, -2.005e-10
1.450e+1, -2.003e-10
1.460e+1, -2.003e-10
1.470e+1, -2.001e-10
1.480e+1, -1.999e-10
1.490e+1, -1.998e-10
1.500e+1, -1.995e-10
1.510e+1, -1.994e-10
1.520e+1, -1.992e-10
1.530e+1, -1.990e-10
1.540e+1, -1.989e-10
1.550e+1, -1.988e-10
1.560e+1, -1.985e-10
1.570e+1, -1.984e-10
1.580e+1, -1.983e-10
1.590e+1, -1.981e-10
1.600e+1, -1.980e-10
1.610e+1, -1.979e-10
1.620e+1, -1.979e-10
1.630e+1, -1.979e-10
1.640e+1, -1.978e-10
1.650e+1, -1.978e-10
1.660e+1, -1.977e-10
1.670e+1, -1.976e-10
1.680e+1, -1.975e-10
1.690e+1, -1.975e-10
1.700e+1, -1.975e-10
1.710e+1, -1.975e-10
1.720e+1, -1.975e-10
1.730e+1, -1.974e-10
1.740e+1, -1.973e-10
1.750e+1, -1.972e-10
1.760e+1, -1.971e-10
1.770e+1, -1.969e-10
1.780e+1, -1.968e-10
1.790e+1, -1.968e-10
1.800e+1, -1.964e-10
1.810e+1, -1.962e-10
1.820e+1, -1.960e-10
1.830e+1, -1.958e-10
1.840e+1, -1.955e-10
1.850e+1, -1.953e-10
1.860e+1, -1.950e-10
1.870e+1, -1.947e-10
1.880e+1, -1.945e-10
1.890e+1, -1.942e-10
1.900e+1, -1.939e-10
1.910e+1, -1.938e-10
1.920e+1, -1.935e-10
1.930e+1, -1.934e-10
1.940e+1, -1.933e-10
1.950e+1, -1.932e-10
1.960e+1, -1.931e-10
1.970e+1, -1.932e-10
1.980e+1, -1.931e-10
1.990e+1, -1.932e-10
2.000e+1, -1.932e-10
2.010e+1, -1.931e-10
2.020e+1, -1.931e-10
2.030e+1, -1.931e-10
2.040e+1, -1.931e-10
2.050e+1, -1.932e-10
2.060e+1, -1.931e-10
2.070e+1, -1.930e-10
2.080e+1, -1.931e-10
2.090e+1, -1.931e-10
2.100e+1, -1.930e-10
