May 25, 2023   19:34:52
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt4\mix_9\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 2.295e-11
0.001, 1.881e-11
0.002, 1.597e-11
0.003, 1.371e-11
0.004, 1.190e-11
0.005, 1.045e-11
0.006, 9.267e-12
0.007, 8.275e-12
0.008, 7.399e-12
0.009, 6.670e-12
0.010, 6.149e-12
0.011, 5.473e-12
0.012, 4.945e-12
0.013, 4.589e-12
0.014, 4.353e-12
0.015, 3.929e-12
0.016, 3.606e-12
0.017, 3.370e-12
0.018, 3.153e-12
0.019, 2.983e-12
0.020, 2.730e-12
0.021, 2.550e-12
0.022, 2.433e-12
0.023, 2.246e-12
0.024, 2.025e-12
0.025, 1.919e-12
0.026, 1.728e-12
0.027, 1.517e-12
0.028, 1.391e-12
0.029, 1.329e-12
0.030, 1.269e-12
0.031, 1.236e-12
0.032, 1.105e-12
0.033, 9.868e-13
0.034, 8.868e-13
0.035, 8.270e-13
0.036, 7.466e-13
0.037, 6.694e-13
0.038, 5.868e-13
0.039, 4.324e-13
0.040, 3.780e-13
0.041, 3.379e-13
0.042, 2.662e-13
0.043, 1.977e-13
0.044, 1.292e-13
0.045, 4.253e-14
0.046, -1.103e-14
0.047, -1.024e-14
0.048, -9.845e-14
0.049, -1.512e-13
0.050, -2.654e-13
0.051, -3.749e-13
0.052, -4.639e-13
0.053, -4.891e-13
0.054, -4.300e-13
0.055, -5.324e-13
0.056, -5.119e-13
0.057, -5.143e-13
0.058, -6.379e-13
0.059, -6.962e-13
0.060, -6.868e-13
0.061, -7.112e-13
0.062, -7.482e-13
0.063, -7.766e-13
0.064, -7.931e-13
0.065, -9.010e-13
0.066, -8.939e-13
0.067, -9.183e-13
0.068, -9.798e-13
0.069, -1.061e-12
0.070, -1.093e-12
0.071, -1.120e-12
0.072, -1.149e-12
0.073, -1.183e-12
0.074, -1.195e-12
0.075, -1.271e-12
0.076, -1.291e-12
0.077, -1.360e-12
0.078, -1.438e-12
0.079, -1.477e-12
0.080, -1.507e-12
0.081, -1.570e-12
0.082, -1.633e-12
0.083, -1.713e-12
0.084, -1.773e-12
0.085, -1.778e-12
0.086, -1.845e-12
0.087, -1.904e-12
0.088, -1.941e-12
0.089, -1.986e-12
0.090, -2.064e-12
0.091, -2.122e-12
0.092, -2.180e-12
0.093, -2.223e-12
0.094, -2.236e-12
0.095, -2.307e-12
0.096, -2.364e-12
0.097, -2.449e-12
0.098, -2.538e-12
0.099, -2.580e-12
0.100, -2.611e-12
0.101, -2.680e-12
0.102, -2.820e-12
0.103, -2.803e-12
0.104, -2.842e-12
0.105, -2.872e-12
0.106, -2.923e-12
0.107, -3.008e-12
0.108, -3.103e-12
0.109, -3.131e-12
0.110, -3.131e-12
0.111, -3.242e-12
0.112, -3.321e-12
0.113, -3.336e-12
0.114, -3.391e-12
0.115, -3.479e-12
0.116, -3.537e-12
0.117, -3.591e-12
0.118, -3.650e-12
0.119, -3.759e-12
0.120, -3.821e-12
0.121, -3.885e-12
0.122, -4.003e-12
0.123, -4.134e-12
0.124, -4.242e-12
0.125, -4.192e-12
0.126, -4.260e-12
0.127, -4.303e-12
0.128, -4.388e-12
0.129, -4.500e-12
0.130, -4.576e-12
0.131, -4.628e-12
0.132, -4.711e-12
0.133, -4.737e-12
0.134, -4.843e-12
0.135, -4.941e-12
0.136, -4.985e-12
0.137, -5.085e-12
0.138, -5.114e-12
0.139, -5.171e-12
0.140, -5.293e-12
0.141, -5.420e-12
0.142, -5.521e-12
0.143, -5.582e-12
0.144, -5.671e-12
0.145, -5.727e-12
0.146, -5.802e-12
0.147, -5.931e-12
0.148, -6.005e-12
0.149, -6.096e-12
0.150, -6.223e-12
0.151, -6.285e-12
0.152, -6.411e-12
