May 24, 2023   16:56:18
Cyclic Voltammetry
File: c:/users/mapence2/desktop/data/2023_05_24\expt1\mix_2\cv_1.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: CV
Note: 

Init E (V) = 0
High E (V) = 0.7
Low E (V) = 0
Final E (V) = 0
Init P/N = P
Scan Rate (V/s) = 0.005
Segment = 3
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-9

Results:

Channel 1:
Segment 1:

Segment 2:

Segment 3:

Potential/V, Current/A

0.000, 7.013e-12
0.001, 5.656e-12
0.002, 4.763e-12
0.003, 4.081e-12
0.004, 3.473e-12
0.005, 3.048e-12
0.006, 2.654e-12
0.007, 2.260e-12
0.008, 1.993e-12
0.009, 1.726e-12
0.010, 1.607e-12
0.011, 1.337e-12
0.012, 1.110e-12
0.013, 9.861e-13
0.014, 8.490e-13
0.015, 7.978e-13
0.016, 7.994e-13
0.017, 5.340e-13
0.018, 4.899e-13
0.019, 5.127e-13
0.020, 4.269e-13
0.021, 3.765e-13
0.022, 3.016e-13
0.023, 2.851e-13
0.024, 2.552e-13
0.025, 1.851e-13
0.026, 1.016e-13
0.027, 4.095e-14
0.028, 3.150e-15
0.029, -7.718e-14
0.030, -1.142e-13
0.031, -1.796e-13
0.032, -2.150e-13
0.033, -3.276e-13
0.034, -3.536e-13
0.035, -3.418e-13
0.036, -4.214e-13
0.037, -4.804e-13
0.038, -5.300e-13
0.039, -6.096e-13
0.040, -6.915e-13
0.041, -7.474e-13
0.042, -7.931e-13
0.043, -8.199e-13
0.044, -8.774e-13
0.045, -8.734e-13
0.046, -9.884e-13
0.047, -1.059e-12
0.048, -1.209e-12
0.049, -1.213e-12
0.050, -1.257e-12
0.051, -1.389e-12
0.052, -1.486e-12
0.053, -1.500e-12
0.054, -1.530e-12
0.055, -1.674e-12
0.056, -1.731e-12
0.057, -1.761e-12
0.058, -1.804e-12
0.059, -1.961e-12
0.060, -2.067e-12
0.061, -2.083e-12
0.062, -2.109e-12
0.063, -2.149e-12
0.064, -2.233e-12
0.065, -2.314e-12
0.066, -2.430e-12
0.067, -2.448e-12
0.068, -2.514e-12
0.069, -2.586e-12
0.070, -2.718e-12
0.071, -2.765e-12
0.072, -2.754e-12
0.073, -2.987e-12
0.074, -3.043e-12
0.075, -3.024e-12
0.076, -3.045e-12
0.077, -3.009e-12
0.078, -2.879e-12
0.079, -2.908e-12
0.080, -3.213e-12
0.081, -3.335e-12
0.082, -3.298e-12
0.083, -3.406e-12
0.084, -3.699e-12
0.085, -3.711e-12
0.086, -3.739e-12
0.087, -3.860e-12
0.088, -3.966e-12
0.089, -4.062e-12
0.090, -4.109e-12
0.091, -4.231e-12
0.092, -4.307e-12
0.093, -4.375e-12
0.094, -4.466e-12
0.095, -4.509e-12
0.096, -4.598e-12
0.097, -4.666e-12
0.098, -4.691e-12
0.099, -4.763e-12
0.100, -4.870e-12
0.101, -4.900e-12
0.102, -5.004e-12
0.103, -5.077e-12
0.104, -5.176e-12
0.105, -5.241e-12
0.106, -5.337e-12
0.107, -5.373e-12
0.108, -5.404e-12
0.109, -5.462e-12
0.110, -5.596e-12
0.111, -5.709e-12
0.112, -5.815e-12
0.113, -5.872e-12
0.114, -5.922e-12
0.115, -5.977e-12
0.116, -6.038e-12
0.117, -6.154e-12
0.118, -6.255e-12
0.119, -6.272e-12
0.120, -6.398e-12
0.121, -6.473e-12
0.122, -6.555e-12
0.123, -6.652e-12
0.124, -6.751e-12
0.125, -6.841e-12
0.126, -6.939e-12
0.127, -7.047e-12
0.128, -7.128e-12
0.129, -7.257e-12
0.130, -7.373e-12
0.131, -7.458e-12
0.132, -7.499e-12
0.133, -7.614e-12
0.134, -7.721e-12
0.135, -7.829e-12
0.136, -7.930e-12
0.137, -8.004e-12
0.138, -8.132e-12
0.139, -8.206e-12
0.140, -8.224e-12
0.141, -8.318e-12
0.142, -8.411e-12
0.143, -8.561e-12
0.144, -8.678e-12
0.145, -8.748e-12
0.146, -8.810e-12
0.147, -8.890e-12
0.148, -8.992e-12
0.149, -9.078e-12
0.150, -9.179e-12
0.151, -9.267e-12
0.152, -9.317e-12
0.153, -9.452e-12
0.154, -9.605e-12
0.155, -9.613e-12
0.156, -9.802e-12
0.157, -9.968e-12
0.158, -1.003e-11
0.159, -1.013e-11
0.160, -1.022e-11
0.161, -1.033e-11
0.162, -1.047e-11
0.163, -1.064e-11
0.164, -1.074e-11
0.165, -1.082e-11
0.166, -1.093e-11
0.167, -1.100e-11
0.168, -1.106e-11
0.169, -1.123e-11
0.170, -1.134e-11
0.171, -1.144e-11
0.172, -1.155e-11
0.173, -1.169e-11
0.174, -1.178e-11
0.175, -1.191e-11
0.176, -1.203e-11
0.177, -1.209e-11
0.178, -1.219e-11
0.179, -1.233e-11
0.180, -1.245e-11
0.181, -1.250e-11
0.182, -1.265e-11
0.183, -1.274e-11
0.184, -1.286e-11
0.185, -1.297e-11
0.186, -1.313e-11
0.187, -1.325e-11
0.188, -1.332e-11
0.189, -1.349e-11
0.190, -1.363e-11
0.191, -1.372e-11
0.192, -1.383e-11
0.193, -1.390e-11
0.194, -1.427e-11
0.195, -1.446e-11
0.196, -1.443e-11
0.197, -1.443e-11
0.198, -1.455e-11
0.199, -1.461e-11
0.200, -1.474e-11
0.201, -1.489e-11
0.202, -1.497e-11
0.203, -1.508e-11
0.204, -1.524e-11
0.205, -1.535e-11
0.206, -1.545e-11
0.207, -1.561e-11
0.208, -1.573e-11
0.209, -1.587e-11
0.210, -1.606e-11
0.211, -1.614e-11
0.212, -1.632e-11
0.213, -1.644e-11
0.214, -1.654e-11
0.215, -1.662e-11
0.216, -1.672e-11
0.217, -1.688e-11
0.218, -1.697e-11
0.219, -1.711e-11
0.220, -1.723e-11
0.221, -1.728e-11
0.222, -1.748e-11
0.223, -1.760e-11
0.224, -1.770e-11
0.225, -1.789e-11
0.226, -1.797e-11
0.227, -1.804e-11
0.228, -1.815e-11
0.229, -1.823e-11
0.230, -1.834e-11
0.231, -1.846e-11
0.232, -1.864e-11
0.233, -1.881e-11
0.234, -1.894e-11
0.235, -1.903e-11
0.236, -1.908e-11
0.237, -1.917e-11
0.238, -1.932e-11
0.239, -1.940e-11
0.240, -1.952e-11
0.241, -1.961e-11
0.242, -1.970e-11
0.243, -1.982e-11
0.244, -1.996e-11
0.245, -2.001e-11
0.246, -2.016e-11
0.247, -2.031e-11
0.248, -2.042e-11
0.249, -2.050e-11
0.250, -2.057e-11
0.251, -2.073e-11
0.252, -2.088e-11
0.253, -2.097e-11
0.254, -2.112e-11
0.255, -2.119e-11
0.256, -2.133e-11
0.257, -2.143e-11
0.258, -2.154e-11
0.259, -2.168e-11
0.260, -2.182e-11
0.261, -2.189e-11
0.262, -2.201e-11
0.263, -2.212e-11
0.264, -2.226e-11
0.265, -2.239e-11
0.266, -2.249e-11
0.267, -2.258e-11
0.268, -2.271e-11
0.269, -2.286e-11
0.270, -2.295e-11
0.271, -2.306e-11
0.272, -2.317e-11
0.273, -2.329e-11
0.274, -2.343e-11
0.275, -2.356e-11
0.276, -2.366e-11
0.277, -2.372e-11
0.278, -2.388e-11
0.279, -2.395e-11
0.280, -2.416e-11
0.281, -2.428e-11
0.282, -2.445e-11
0.283, -2.455e-11
0.284, -2.477e-11
0.285, -2.481e-11
0.286, -2.501e-11
0.287, -2.525e-11
0.288, -2.547e-11
0.289, -2.561e-11
0.290, -2.564e-11
0.291, -2.570e-11
0.292, -2.584e-11
0.293, -2.602e-11
0.294, -2.611e-11
0.295, -2.624e-11
0.296, -2.640e-11
0.297, -2.660e-11
0.298, -2.670e-11
0.299, -2.680e-11
0.300, -2.692e-11
0.301, -2.707e-11
0.302, -2.723e-11
0.303, -2.739e-11
0.304, -2.749e-11
0.305, -2.770e-11
0.306, -2.786e-11
0.307, -2.799e-11
0.308, -2.816e-11
0.309, -2.833e-11
0.310, -2.839e-11
0.311, -2.857e-11
0.312, -2.873e-11
0.313, -2.891e-11
0.314, -2.908e-11
0.315, -2.918e-11
0.316, -2.934e-11
0.317, -2.955e-11
0.318, -2.968e-11
0.319, -2.981e-11
0.320, -3.000e-11
0.321, -3.011e-11
0.322, -3.036e-11
0.323, -3.053e-11
0.324, -3.058e-11
0.325, -3.072e-11
0.326, -3.097e-11
0.327, -3.122e-11
0.328, -3.134e-11
0.329, -3.150e-11
0.330, -3.163e-11
0.331, -3.181e-11
0.332, -3.198e-11
0.333, -3.213e-11
0.334, -3.231e-11
0.335, -3.240e-11
0.336, -3.264e-11
